Total Size (X, Y): 90 x 90
Considering Position <17, 50> at step 274
Considering Position <20, 49> at step 275
Considering Position <20, 47> at step 275
Considering Position <20, 47> at step 278
Considering Position <19, 46> at step 278
Considering Position <9, 33> at step 279
Considering Position <8, 34> at step 279
Considering Position <9, 32> at step 280
Considering Position <25, 34> at step 281
Considering Position <25, 32> at step 281
Considering Position <23, 27> at step 282
Considering Position <8, 35> at step 284
Considering Position <7, 34> at step 284
Considering Position <24, 27> at step 286
Considering Position <26, 34> at step 287
Considering Position <25, 35> at step 287
Considering Position <12, 53> at step 288
Considering Position <9, 38> at step 289
Considering Position <10, 37> at step 289
Considering Position <17, 49> at step 290
Considering Position <25, 27> at step 292
Considering Position <24, 28> at step 292
Considering Position <24, 26> at step 292
Considering Position <25, 36> at step 293
Considering Position <13, 53> at step 294
Considering Position <12, 54> at step 294
Considering Position <9, 33> at step 296
Considering Position <9, 31> at step 296
Considering Position <5, 26> at step 297
Considering Position <13, 19> at step 300
Considering Position <11, 19> at step 300
Considering Position <12, 18> at step 300
Considering Position <10, 45> at step 301
Considering Position <10, 43> at step 301
Considering Position <21, 49> at step 303
Considering Position <20, 50> at step 303
Considering Position <25, 43> at step 304
Considering Position <24, 42> at step 304
Considering Position <22, 46> at step 305
Considering Position <25, 44> at step 307
Considering Position <25, 42> at step 307
Considering Position <22, 47> at step 308
Considering Position <21, 46> at step 308
Considering Position <17, 50> at step 309
Considering Position <26, 44> at step 310
Considering Position <25, 45> at step 310
Considering Position <27, 39> at step 311
Considering Position <23, 47> at step 312
Considering Position <22, 48> at step 312
Considering Position <17, 51> at step 313
Considering Position <28, 39> at step 314
Considering Position <27, 40> at step 314
Considering Position <27, 38> at step 314
Considering Position <28, 40> at step 316
Considering Position <28, 38> at step 316
Considering Position <28, 40> at step 317
Considering Position <27, 41> at step 317
Considering Position <27, 42> at step 318
Considering Position <26, 41> at step 318
Considering Position <23, 23> at step 319
Considering Position <22, 22> at step 319
Considering Position <14, 53> at step 320
Considering Position <13, 54> at step 320
Considering Position <25, 28> at step 321
Considering Position <25, 26> at step 321
Considering Position <22, 49> at step 322
Considering Position <24, 23> at step 324
Considering Position <10, 49> at step 325
Considering Position <12, 54> at step 326
Considering Position <23, 49> at step 328
Considering Position <22, 50> at step 328
Considering Position <22, 48> at step 328
Considering Position <25, 29> at step 329
Considering Position <24, 28> at step 329
Considering Position <27, 34> at step 330
Considering Position <25, 32> at step 331
Considering Position <24, 31> at step 331
Considering Position <6, 21> at step 332
Considering Position <7, 20> at step 332
Considering Position <28, 42> at step 333
Considering Position <23, 50> at step 334
Considering Position <22, 51> at step 334
Considering Position <26, 29> at step 335
Considering Position <25, 30> at step 335
Considering Position <28, 34> at step 336
Considering Position <27, 35> at step 336
Considering Position <29, 42> at step 337
Considering Position <28, 43> at step 337
Considering Position <28, 35> at step 339
Considering Position <28, 33> at step 339
Considering Position <28, 35> at step 340
Considering Position <27, 36> at step 340
Considering Position <30, 42> at step 341
Considering Position <29, 43> at step 341
Considering Position <29, 41> at step 341
Considering Position <29, 43> at step 342
Considering Position <28, 44> at step 342
Considering Position <27, 37> at step 343
Considering Position <26, 36> at step 343
Considering Position <28, 45> at step 344
Considering Position <27, 44> at step 344
Considering Position <17, 52> at step 347
Considering Position <16, 51> at step 347
Considering Position <15, 53> at step 348
Considering Position <14, 52> at step 348
Considering Position <18, 52> at step 349
Considering Position <15, 54> at step 350
Considering Position <15, 52> at step 350
Considering Position <19, 52> at step 351
Considering Position <18, 53> at step 351
Considering Position <16, 54> at step 352
Considering Position <15, 55> at step 352
Considering Position <20, 52> at step 353
Considering Position <19, 53> at step 353
Considering Position <19, 51> at step 353
Considering Position <23, 50> at step 355
Considering Position <25, 46> at step 357
Considering Position <7, 35> at step 358
Considering Position <26, 46> at step 359
Considering Position <25, 47> at step 359
Considering Position <24, 46> at step 359
Considering Position <27, 46> at step 361
Considering Position <25, 48> at step 362
Considering Position <24, 47> at step 362
Considering Position <24, 47> at step 363
Considering Position <25, 49> at step 364
Considering Position <24, 48> at step 364
Considering Position <27, 44> at step 365
Considering Position <5, 27> at step 366
Considering Position <4, 26> at step 366
Considering Position <5, 25> at step 366
Considering Position <26, 36> at step 368
Considering Position <27, 45> at step 369
Considering Position <5, 25> at step 371
Considering Position <5, 23> at step 371
Considering Position <17, 21> at step 374
Considering Position <24, 48> at step 376
Considering Position <24, 46> at step 376
Considering Position <28, 45> at step 377
Considering Position <27, 46> at step 377
Considering Position <5, 28> at step 378
Considering Position <4, 27> at step 378
Considering Position <12, 55> at step 380
Considering Position <11, 54> at step 380
Considering Position <12, 56> at step 381
Considering Position <30, 43> at step 382
Considering Position <19, 53> at step 383
Considering Position <18, 54> at step 383
Considering Position <28, 37> at step 384
Considering Position <27, 38> at step 384
Considering Position <5, 29> at step 385
Considering Position <4, 28> at step 385
Considering Position <12, 57> at step 386
Considering Position <11, 56> at step 386
Considering Position <30, 44> at step 387
Considering Position <30, 42> at step 387
Considering Position <18, 55> at step 388
Considering Position <17, 54> at step 388
Considering Position <29, 37> at step 389
Considering Position <28, 38> at step 389
Considering Position <28, 38> at step 391
Considering Position <9, 43> at step 392
Considering Position <10, 42> at step 392
Considering Position <31, 44> at step 393
Considering Position <30, 45> at step 393
Considering Position <30, 37> at step 394
Considering Position <29, 38> at step 394
Considering Position <29, 36> at step 394
Considering Position <17, 55> at step 395
Considering Position <13, 57> at step 396
Considering Position <12, 58> at step 396
Considering Position <10, 50> at step 398
Considering Position <10, 48> at step 398
Considering Position <14, 57> at step 399
Considering Position <9, 37> at step 402
Considering Position <16, 21> at step 403
Considering Position <17, 20> at step 403
Considering Position <15, 52> at step 404
Considering Position <14, 51> at step 404
Considering Position <7, 35> at step 406
Considering Position <6, 34> at step 406
Considering Position <5, 30> at step 407
Considering Position <8, 38> at step 408
Considering Position <9, 37> at step 408
Considering Position <10, 19> at step 410
Considering Position <25, 23> at step 411
Considering Position <24, 22> at step 411
Considering Position <25, 24> at step 413
Considering Position <25, 22> at step 413
Considering Position <20, 53> at step 414
Considering Position <26, 24> at step 415
Considering Position <25, 25> at step 415
Considering Position <20, 54> at step 416
Considering Position <19, 53> at step 416
Considering Position <27, 47> at step 417
Considering Position <21, 54> at step 418
Considering Position <20, 55> at step 418
Considering Position <28, 47> at step 419
Considering Position <27, 48> at step 419
